text,intent
"وهاك الديوث سمير ديلو ماد وجهو الطحان""",0
hahaaaaa bliida,0
ya 5ouya fadit,0
🗣🗣💩💩💩🤮🤮🤮,0
k2rhym rak m3allm welli ye7kou 3lik lkol 8ayrin menk w8na touns  mta3 s8ar wasel ya m3allm wenchallah rappeurat touns iwallou kifk #Brins_rak,1
youktoul bidhohk bravoooooo karim,1
Tala3bouhech boulede1 mala so9at fi tounes 7esou benes pffffffffff,0
Karim ya m3allim,1
حماااار,0
 مشهد من الصمت الرائع ...,1
برنامجكم  في النازل  و اعتذاركم  المتعالي لا يكفي و لن  ننسى  انكم كنتم تسوقون  للمثلية,0
bravou wajiha,1
تافه وساذج ملا مستويات العيب موش منوا ملي مستدعيه,0
3aslaaaaa,1
Mahlah ya3jibni barch,1
أنت ممثل متألق وبارع يا لطفي هناك عوائق في تريقك تصدى لها هناك الكثير من أعداء النجاح تصدى لهم والله معاك,1
حمد الرحموني أشرف من جميع المرتزقة,1
الشلايك يجيبوا الشلايك,0
منحط.منحط منحط منحط منحط منحط منحط,0
Bravo,1
Nour tberkalah 3lih wasil,1
معلم في كلمة,1
5adam,1
من نجاح لنجاح كل التوفيق لقناة الحوار (للنبارة تتفرجو و تنبرو ),1
قناتكم عملت الريحة,0
tfouhhhh and tfihhhhhhh,0
WA7DEK YA T7IFA M3ALEM,1
jaafour ya m3allem,1
توا وفى مسلسل زازة و نجلاء و كرارز عبلا و هاو جاكم مسلسل منال عمارة و كاديريم و المنقالة و الكبوط و رأس اللمبوط برعاية قناة الحوار ..... الراعي الرسمي لكل ماهو عار و خنار !!!!!_x000D_,0
برافو بصراحه سعات تلقىك,1
Wlh chappeau lotfi 👏,1
فضايح ....No comment,0
"مثقف بودورو . ممثل فاشل راك مقزز""",0
تعملو مزييا معش تجيبوهولنا هال السنبل اغا ..يطلع لعصب ..حاسب روحو  حاجة و هو ولله لا يجي شيييي .,0
A pary que vous etre entrain de foutre de ma guele rien a ajouté je me deplacerai sur place et je resilie le contrat,0
5sara dima fi a9wa la9ta youfa il mousalsal :\,1
لا ذات لا صفات عامل روحو متثقف وهو مستواه اولى د اما عندو دراية كبيرة في هزان القفة معلم هههههه,0
Nchallah rabi m3ak nhebek barcha,1
3maltou el3ar,0
 Connexion wallet  behia,1
وجيهة من أقوى الممثلات التوانسة و انا نحبها برشا,1
برافو اميمه كي العاده ديما منورتنا بصوتك <3,1
Tfata9,1
ma7lak jafour,1
غالبا الجميلات الموهوبات قليلات حظ كل تقدير و الإحترام لك :/ 💝,1
راجل متثقف و واعي,1
Bourjoleya safa9et el walid etounsi msa7 biha louta el gerda hachakoum bravo walid rajel,1
Tayra yaser bravo 💗,1
شنواااااا تهردة هاااذي _x000D_,0
" Un établissement de référence pour le secteur, toujours animé et bien fréquenté. Prix élevés.",1
i3gbni souto,1
masta,1
louled jawokom a7la jawo . bravo,1
bravo amin e,1
راجل,1
Lotfi a9wa moumathel fi tunis rabi m3ah,1
behi je veux une reponse claire et nette idha nhabet ghodwa el modem mte3kom l agence w na3mel resiliation traj3ouli floussi ou nn ?,0
رجل تونس الأول,1
Maseeeet,0
☹,0
برافوووووو يا أحلى فنان,1
Bravo!! M3allem.,1
عاملة فيها قافزة. إخخخخخخ,0
ملا مناظر,0
Barra nayek,0
حثالة مثل هذا توفيق لا تربية ولا أخلاق مقرف,0
ماسط لاسط  ماسط لاسط ماسط لاسط   ماسط لاسط,0
اتفه انسانة ريتها في حياتي ملا مستوا منحط ...,0
Mahleeeehom <3,1
امسط انسان ومنحط,0
نموت عليه ياسر يعجبني,1
barhoumti dima waher bou zinek,1
انحطاط اخلاقي و ثقافسي  وحقد ايدولوجي لا مثيل له,0
Ena tbarkala 3leha,1
لا تعجبو فهو زمن التافهين,0
😁😁😁🥰,1
مااحلاها ريم الرياحي زين و تربية و برستيج ان شاء الله ربي يوفقها و نشوفوها في حاجة حلوه في رمضان سنه 😘,1
Mousdfa ya ma3alm,1
الحوار التونسي باهية في كل شي,1
Wallat masta,0
7ala mote3ba asl,0
برافو وليد التونسي ياسر كلامك عجبني والله بردتلي على قلبي يعتيك الصحة,1
-tefeh _x000D_,0
😔,0
منور ربي يحفظك يا شيخ واليد من البيبا,1
Berjouliya sitkom mouch 3adi 7ata tarf #bravo 😃😄,1
محلاها ومحلا صوتها اميمة الى الامام ربي معاك,1
طحان يزاحم الإعلام.,0
mnawra  echacha ramrouma . ma7laha labestek machallah 3lik rak mezyana,1
تعجبني ممثلة وعليها لكلام,1
Nheeeebhaaaaa 3saaaal 💕,1
حلم جميل,1
tbarakkah 3la southa (y),1
Tayara,1
Yesser merej,0
مااسقطو راجل توه الحبس تنحات منو الصبة والراقو مكذبك عندي احساس الا عدوه للدراقة هههه خرج يهتري بالحبس تي المهم لكلها لغة باش يكمل عروضو في الحبس,0
!!!  tawlit   l7kaya  3ndha  akthir  min  15  jours,0
Ma7lehem,1
ياسر غالطة في روحها و عقلها صغير,0
walid ye m3allam wlh rak tayyara f 8nek w rayek bravooooooooooo :),1
"""مااااااسط...",0
3ijbouni chlaghmou,1
جميلة وحلوة وصوتها جميل ربي يكون معاها,1
maset chway,0
😤😤😤,0
Mouch mnha mn semi el fehri el miboun  mao tayhouha fih fel habs we mn ghadi bdet lahkeya tfoooooooooooooh alih,0
choufouli 7al leyoum ya bach ne9oseha,0
Masta 3alle5er w madhabina m3ach nchoufouk mandherha fi TV.....,0
brabi ken fema kilma ghir msata 9ouloli bil wa3jen bil wa3jen jibbbb jdida rak walit carte ma7rou9a :(,0
😘😘,1
حسين الديك صوت فوق الخيال الله يوفقك,1
Bou zinou ma7leh,1
Tbarkala 3liha,1
Mahlekoum sami,1
hhhhhhh wa7dhek,1
 مطعم جميل وأنيق,1
Vous êtes un voleur,0
هشام الخلصي ثقافة وهرة وأخلاق وخلق والله إنت اكبر فخرلتونس..طلعتلنا المورال برافووووو,1
Mostawayet,0
مقداد البلعوط عاد إليكم من جديد,0
can u fcking respond plz ?,0
monafe9 w kadeb,0
🖕🖕🖕🖕🖕🖕🖕🖕🖕,0
Tbarkala 3liha bsara7a,1
😍😍,1
mra w a3liha lklem,1
"tonalité mawjouda
",1
mech blastou 5atrou dammou s5oun wfisa3 yech3el wmaye9belech erayé elmou5alef,0
em 3alem,1
mabladkom mn7bch fih rahou,0
Bravo Jaloul,1
برافووو ناجي جلول,1
من ارووووع الحلقات مع اروووع نجوووم مع احلي وردة ريم رياحي اللي نورتنا بجمالها وانقتها وكلامها روووووعة.كليك علي بعضيك حلووووو .,1
Masta mafamech kifha hasba rou7ha franc wenos whiya matjich Chay,0
مورو يا معذبهم,1
اتفوه علي هالاشكال,0
Maset barcha,0
قعر,0
3asoula barhouma,1
sl3a gzez,0
maaaaaaaaaaaassset,0
Jahel,0
"ah c'est bon, je viens de voir les détails de l'offre",1
Bhima,0
Ragel,1
Sob7ana Allah machallah 3asla,1
Sa9et w mech rajel w my7chmech w 9wade w l'kaleb achref menou... w l'3yib fi sami eli m5lyik tet3da en tel!!!!,0
👎🏻👎🏻👎🏻,0
😠😠😠,0
الواحد يقص الكونترا خير ظاهرلي بلاش تكسير راس,0
برافو عليك ناجي جلول 👏👏👏👏👏👏👏👏👏👏👏👏,1
Mashaallah 💖,1
الله يعتيكم كارثة يا قناة الفساد و العار,0
للاسبوع الخامس على التوالي وانا اعاني من هذا العطب العبثي ولا ادري كيف اتصرف مع شركتكم لأتزود بالأنترنت مثل كل التونسيين الذين يسرقهم كل من امتلك ميادين خدماتهم مثل توب نات . اذا لم يسم ما اعانيه استهتارا او سرقة فقولوا لي بربكم ماذا نسميه؟؟؟؟؟؟؟؟؟؟ سانتظر الجواب اما باصلاح العطب او ما الذي نسمي ما يحدث لي ونحن في عصر العولمة وعصر التدخل السريع وعصر المختصين والفنيين والمهندسين ؟؟؟؟؟؟؟؟,0
تحترمنا شوي و تغطي روحها .. ما هذا الجنون,0
Merci❤❤,1
Bravo karim Elgharbi ❤,1
Min arwa3 al moumathelet,1
جعفر القاسمي احسن واحد بالرغم من الضحك واللعب والتنكيت اما تعرف تقول كلمتك برا ربي معاك والله يسترك كيما سترت برشة ناس,1
5ayba,0
موش بلاصتو,0
هذيكا اجمل فنانة تونسية عبر التاريخ ان شاءالله ديما متألقة,1
Bravo وليد بصاراحة كبرة في عيني و في عين الشعب التونسي,1
Aho lelm3alem w la blach ya3ref kifai yetkalem w yo5rej men kol l2as2la bkol arya7iya bsara7a bravo,1
غالط في روحو,0
Enti ya zebla jebt ethawra etfouh 3lik w3ala aslek ken enti mra wbech trabi ajiel 5sara ya tounes 😢😢😢,0
Yfataaaaaaaaaaa9 💛💚💜,1
Mala tho7ka,1
تفووووه,0
Thabal wentouma thablou zeda,1
Bravo Hannouna dima mnawra el émission tbarkalah 3lik ....,1
"Wow ,machallah",1
 لإعادة النظر,1
من احسن الممثلات الي عنا يعتاها الصحه وبالتوفيق ان شاء الله,1
برافو مبروك بنت القصرين,1
Hhhh barcha jaw lyoumm allah laynahik alina,1
bien,1
toufa erjel ba3dek  ya jlayel bravooooooooooooooooooooo,1
شلاكة,0
روع المسلسل,1
والله إنتي معلم والتوانسة الكل منك تتعلم،برافو #جعفر,1
malla chleka jeybinha ou mouch menha zeda men heka lebhim elli jebha amine wejh chkara,0
Ma3alem,1
Zina mahlekkk nmout 3lik wlh f njeh  benti lema njibkkkkkkkk,1
Bravo,1
bravo  ya  sin  ma7lak,1
تبارك الله عليكم  ربي اهنيكم,1
Une pute,0
mkacha5 7arby <3,0
عبد الفتاح مورو صريح و معلم,1
ماشاء الله ....تهبل,1
ماسط ﻻسط,0
ملى كوراث استر ربي  والى راه خرجنا من البلاد ........,0
Hhhh eyh walah 3ejbetni,1
Ma7leha,1
عيب على البرنامج هذا اللي يجيب فيهم و يعطيهم حق الرد والله مش معقول,0
مجموعة متاع أنذال تلوج علفلوس بقلة المعروف فكيف لمثلكم أن يتكلم عن المحاماة. سامي الفهري خليك في شكون ولد مفيدة و سي علاء والمثلية.المحاماه أرقى من أفهامكم المنحطة,0
ملا منافق هالزنديق نسا روحو كيفاش كان بقبوق,0
chy ymaredh,0
tbakalah 3lik walid raw3aaaaaaa,1
3andi periode wel modem ta5el ba3thou mchite lel agence ta3 el kef galouli lazem ta3mel reclamation wel taw hany nestana,0
ربي يحفضهم ان شاء الله محلاهم,1
^^mmmmmmmmm zebla,0
te3jebni barcha ma7leha <3,1
Ja3four yaser ya3jebni f klamo mchallh a3lih yefhmelha barcha w bravo vraiment ynajem dawro  rabi e3eno nchallh ♥♥♥ bonne contuniasiont,1
Sitcom raw3a raw3a bravo l'EL équipe elli 5edmouh elkollll,1
مسلسل كي ... الخرا,0
توفيق الغربي ردىء ومبتذل,0
Sar entier système ta7ki m3aya . hak tla3t abham minhom,0
hedhi kelba bhima leima 0.0,0
حسبي الله و نعما الوكيل,0
نور شيبا راك تهبل و كلكم بصراحة تهبلو ر,1
صافي سعيد من ضيوف إلي نستفادو منهم على عكس باقي سياسين,1
Klemou s7i7. Kol,1
والله التمثيل التونسي في تقدم كبير ربي وفقكم انشاء الله,1
تافه,0
Ena 3jbtni fkra mta3ou ya3tih sa7a ♡♡♡♡♡,1
wahdek olfa,1
nuulll sayi yazziiiii sne akhwa badlou masssssssttttttttttttttttttaaaaaaaaaaa,0
💩💩💩💩,0
msta w lsataa,0
masit lasit,0
rehi cnxt ta3betni,0
Lotfi rak m3alem bravo wlh :* :*,1
vous vous foutez de moi ! ou quoi,0
maset laset,0
افففففففففففف شي يفدد,0
أنت يا طاهر بن حسين حمار حيحا حيحا نقص من نهيق موش بهيلك,0
Ma7lek yeser metrobi  el feyda fe torbiya mech fel mathaher wyeziw mel 8ira tbarkala 3lih 7liltou,1
Ma7leeeeeeeek ye lotfi,1
#برفواااااااااااا,1
" There's a special feeling about this place, i highly recommend!",1
طحان ديوث موش راجل الي مازال ايخلي هالقناة في دارو _x000D_,0
Mala mostawa wssolnelou fe télé :/ 5it chay y7achem,0
3ssal edenya,1
nes mle7 :D,1
ana te3jebni barcha,1
Mastaaaa lastaaaa,1
أكثر انسان مقبول من قبل التوانسة,1
Hethi e5retha blech 7echma tfouh a3likom ya kabwel,0
Mamstou 3ed,0
محلاك يا اميمةومحلى صوتك,1
Bravoooooo,1
Wahdou el ebdili el 9ouwa eli fih yel9aha hadhra min ghir ma ya3mel barnemej chbich y9oul tbarkallah 3lih,1
ههههه برافو عجبنيي ياسر المسلسل,1
تفيه عليكم فردا فردا يا جرذان المسخ سامي الفهري,0
هذا الرقاصة يدلي بدلوه في شان القاضي احمد الرحموني !!!!عاهرة تتكلم عن الشرف !!!!,0
To9telll #khalsy,1
tounseya 100%,1
Mal mereg ahaj toulllllll,0
مرزن مليكتو,0
"""A3leeeeem l3aaaar 9anet l7imar tounsi fsed zatla w mo7ami yjib lbnet w ......._x000D_",0
M3alma bent lgas,1
والله عيب على القناة ومقدم البرنامج.جايب واحد يرقص باش يحكم عللى السيد القاضي.يزينا عاد رانا فدّينا.الرجاء قراءة هذا التعليق,0
service catastrophe .je demande l'annulation du contrat. comment faire?,0
A7la fawzi ou kelmek kil la3sal 5ouya rabi ibrek fik ...,1
راجل,1
انا عحبتني لرشا اما بالله كريم يخلس على كل شلبوق,1
مسكينة تونس,0
etbarkala alikom sahra alamia,1
عسلة,1
سارق وكلب من كلاب كمال لطيف,0
برافو وليد,1
يا سي جعفر اطلعة ياسر قلبك حنين,1
جعفور انسان محترم,1
9adech tharbou f rou7o,0
مرأ مثقف,1
Bjah  rabbi na7ouh 3lina,0
البرنس معلم صراحه,1
goodmorning ❤,1
bjeh rabkom fahmony,0
يا وليد يا معلم .. و الله العظيم راجل و برسمي أثبتت إنك فنان راقي .. و عجبتني كي دفعت على أحمد .برافو ..برافو ..,1
هههه طلعت تشبه لدور عفشة,0
sahrya tahfouna testana fina,1
M3allim,1
nafs rozen dali nahdi,0
هي صح رائعة في الاداء الدرامي لكن تبقا دليلة مفتاحي الاولا ّ,1
مفسد الاجيال,0
صوتك حلو كي تغني آما كي تتكلم قول لطفي بو شناق,1
Mmsetkm pffff,0
"""طالما الحصة إسمها كلام الناس و ليت شطيح الناس فأظن أن كلام الناس في هاد اليومين يصب فقط في الكارثة و الجريمة البشعة من مختل عقليا و جنسيا ضد براءة في سن الرابعة (ياسين) رحمه الله و صبر أهله. _x000D_",0
mamstoooo,0
Hhhh bravo sami cheb3a dho7ek,1
البرنامج مصات عالخر لا يقبل فدلكة لا يقبل نقاش و لاعبها هو الكل في تونس بفف ربي يهديك يا امين,0
Ne7ebha,1
ياحسره فرحت كريتو,1
محلاااكم منورين😉,1
امونة الغالية :*,1
BRAVOOOOOOOOOOO,1
نحبك يا احسن فنانة,1
Yaaaaaaa n7ebou barcha,1
توفيق يا لحس يا مسخ يا جبري,0
a7la o arw3 sout tounsi zin torbya 39ala,1
ok top voleur,0
Ana fatma ta7founa rabi y5alaha arwa3 tofla,1
أمنة فاخر أحلی و أقوی صوت طربي في تونس و فنانة ملتزمة و محترمة برشااا bravoo emna :*,1
Bravo oooooo,1
Ach bikom tafhine awlade lamine i5iiiiiiiiiiiiiiiiiiiiih,0
معلم,1
. wlh bravo Karim bon chance w wmwafe9 inchalla,1
masta lasta,0
Allah la tberkilhom,0
نسيبتي لعزيز فيها كان لمسوتيا ملا حاسبين إلمسلسل أضحك أما هو بكل تقوعير,0
من وين جيتي انتي لا تمثيل المرأة التونسية,0
Men a9wa lmoumathlin fi tounes. Bravo wajiha (y),1
3alamiaaaaaaaaa,1
هههههههه عفسة حلوة,1
Barcha 9o7b,0
naji jaloul 9alil al7aya2,0
ووه مامسطك ياتوفيق ياغربي.بالله اتفرج في الاعادة وشوف اكا التهريج الي عملتو.ياولدي السماح فيها الثقافة الي تمثلها انت.في الاخير نقلك الحق موش فيك امافي اللي جابك للبلاتو يامهرج. والله حتي كلمة مهرج خسارة فيك.,0
مسسستويات,0
"merci de prendre en charge mon cas au plus vite, cela fait un mois depuis ma demande.",0
actrice charmante ..... bravo !!,1
bravo walid (y),1
wlh m3lm,1
Mahlekom les 3,1
Ye Masa5 ye mnayek tfih,0
3adiya,1
Enta m3alim jaafour,1
Ma7lèha il 7al9a w mouselsil bèhi barcha <3 <3 <3,1
n7ebha barcha w te3jebni w ena ne3therha fi dawerha,1
مقداد قاهر الفن في البلاد,0
Lotfi ya m3aaalem,1
te3jebni barcha 7ata ena na3ref enmatel semi,1
جهل و انحطاط اخلاقي و لا مبالاة باعراض الناس و بتقاليدنا و القيم و الثوابت التي تربينا عليها كمجتمع اسلامي محافظ لذلك فهي تستغل هذه المواضيع باعتبارها خطوط حمراء لغاية الشهرة و الفرجة لكنها لم تتوقع انقلاب السحر على الساحر.,0
Hhh mala manather mkalba,0
ma7léhom m3ahom rabi nchallah,1
☆☆♡♡3Asla♡♡☆☆,1
Arretez ses msg auto svp,0
Je t'aime,1
نجمة هذي السهرة بي عفويتها و لابقتها,1
Ya3tih essa7a wassel,1
M3alim,1
تاعب ياسر مقداد. عقلية ديكتاتورية و كأنه مفتي الجمهورية  !!!!!,0
لمين انت معلم,1
أمان ما فماش هيئة ضد المساطة في تونس!,0
maset barcha,0
شعب كرمبيط و كي هو كي لطفي بكلهم شلايك و الفلوس عماتهم,0
bravooo sami fehri ama 3lech met liprince min awel 7al9a,1
Tfatte9 bezzin,1
Tefeh yeeeeeeessir,0
👍,1
😑😑😤🤬🤬,0
mahlek baya tbarkallah 3lik,1
Ensen tefah ch5aleh mahabech ye7ki m3a chakib 3arfou bech y5arjou min ghir sabatou hhhhhh,0
J aimerais bien changer de fournisseur,0
Mast...,0
حلوا يهبلوا عينيك,1
جمال و أناقة ماشاء الله,1
و الله برافو ليك و لاحمد الاندلسي و ربي اكثر منكم الناس,1
Ma5yebk,0
tfuhhh johhell. point,0
وجيهة الجندوبي هي الماسطة وفسدت المسلسل الكل,0
Methayline professionnel yakhdhou l flouss w ma ylansiwch el ligne,0
راك ماصط راك لاصط...راكم سلعه كلخه ما إتشيخشي الراس سخفاااااااااااااااء..._x000D_,0
l7a9 dima mwaher,1
Thaaaabel w math5emha w mo7tarma w bkolha ser w kamouun ♡♡♡,1
zbela,0
تو مازلتو تجيبو فيه هل فرخ,0
الشيب ول عيب,0
 Not as expected !,1
27la 3la 9alb mil la3sel,1
عملتوا الريحة,0
Bravooo sami,1
F galb wlh ma7lehm la5wa hakeka,1
mastaa o3ajbitha rwuhitha tishab roha semha hhh masa5fitnich bil3akis golt mahlaha fiha,0
😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠,0
C'est toujours la même réponse que vous me donnez et elle n'est pas satisfaisante.,0
Mela miboun,0
Yasser ma3lem,1
نحب نقول لجعفر الله يرحم والديك شبعت بالضحك فرهدتلي على قلبي,1
Mais le problème à plus que 2 mois,0
Machalha a3lha rabi yeberk,1
أمصاط :/,0
ti3jibni il moumthla hathi barcha  i9wiya,1
Wa7dek ye wejiha nmout 3lik,1
Bravo aychoucha👍,1
te3jbnii <3,1
لعنة الله على الشياطين,0
Makhybou dawrha mawetethech cherira jmla,0
Bjahrabi nahouh rahou miboun,0
Akbir kalb,0
👎👎👎👏,0
الطمع أو قطعان الرقبة متحاذين و الحقار يموت ذليل روحي وهف يهزك,0
9adech nakrhek w 9adechek maset  maset  pffff w 3amel feha 3a9el hhh,0
انت خامجة ومكش انسانة بالكل ما نيش عارف منين جيتونا تونس خمجتوها بالخماج الي كيفك,0
برشا جو او تشويق مسلسل حلو حقق اكبر نسب المشاهد توانس تتفرج في ليل او بعد يبداو اسب انا في بالي لي معجبوش المسلسل انجم ابدل,1
تحية لسميرة الاخت الوفية في زمن غابت كل مشاعر الانسانية برافوووو,1
Tfih tfih,0
حلقة مع المقدم الماسط اللاسط الفاشل اميييييييييييين !!!!!!!!!!!!!!,0
👍👍👍👍,1
Klab,0
لعنة الله عليك انت و طحان فل الباج متعك,0
يعطيها الصحة والله بكاتني,1
Enta m3alem,1
Bdan w zin w 3in w fan w kawen rou7ou b rou7ou bravo k2rym w ma7lek enti w manoula,1
امثال الرحموني من الحقوقيين السخفاء البهايم نثل سامية عبو و راجلها حقهم الاعدام،ماهلكاها لبلاد كان هوم,0
Bravo 👏 daleji,1
اكبر منيك هوا العربي المازني فرخ ميبون,0
Mmmmmasta,0
A9wa la9ta :/,1
انا واحد من ناس متفرجتش و مقادش نحب نتفرج على هل مناظر و هل أشكال التافهة,0
🖕🖕🖕,0
😍😍,1
"""جبالك الرواسي...",0
معلم..معلم,1
Mch question el couleur !! 3al kedheb Ena,0
"عاهرة ... نكرة في زميلها او بالأحرا استاذها ""احمد الاندلسي"" باش تمجد فرخ ميبون .",0
بصراحة انا معجبتنيش الفازة... اختي غلطت لكن مستحيل نبيع اختي... نستر عليها موش نصلح الغلط بلغلط.... سامي فهري معلم.... لكن في مسلسلاتو برشة تجاوزات ايديولجية  من صعب المجتمع يقبلها برغم انها موجودة فيه... والله شيء ايوقف المخ....,0
Hethika tji kol chay ken momathla tsa5ef,0
كلها بوتكس أنا متعجبنيش,0
Tfouh,0
أحبك حتى النخاع يا علاء الشكر والتقدير ربى يحفضك يا أحسن منشط في كل العالم ويقدرك على فعل الخير خاصة مع االزوالي,1
كل مرة يجبولنا جرثومة الله يهلكهم,0
yadi andha chaar tkoli fe nags lahkia,0
connexe thachem,0
jewbouuni,0
Ma7lehom la5wet m3a b3adhhom,1
Lotfi ye me3lm ❤,1
ماسط لاسط الشيب و العيب,0
Marznou,0
mala 7ala,0
Mosalsel tefeh,0
ملايكتو رزينة,0
dima b3okezek 7atta fi klem ennes,1
 A visiter mais service a remettre à niveau,0
بصراحه  برافووووووو مسلسل حلو برشه,1
صوت روعة و تحسن برشة على قبل,1
Bravoooooo,1
جعفر القاسمي إنسان مثقف خفيف الدم الله ينجحو,1
9bal ahla,1
Hhhhh malla rhout,0
تحية الي الوزير التربية الي. دخل قلوب التوانسة بمواقفه ضد تبييض الارهاب حقيقة تقال لرجل صادق. يبحث عنه التونسيون ليكون مكان الصيد,1
3alami bourjoulya,1
Masssssettt,0
mase5 matnejim tji ken 3ases tfouh 3lik,0
wa7ed 3la abt internet rekbou dam w soker,0
وحدك يا فنان ، ابدعت ثم ابدعت,1
باسل يسر,0
Masta barcha,0
barcha s9ata,0
Wa7dak ya m3alem,1
معلم واالله برشا حب ورومانسية اما لقطة نرفزتني كي قاتلوا عايلتك تحشم بصراحة موجودة في واقعنا هاذي الله غالب,1
moch 5arje 3lik   lfane,0
MALLA  CHLEIK,0
Zeyed mate7chmouch,0
C est déjà fait,1
Mas9tha touz fik,0
هي شلاكة و امها شلاكة,0
تفوووووه,0
انا انحبها وتمثيلها حسب الدور اما ديما تعجبني موش كيف برشا اشكال كيف اتغطسهم في جره بالعسل يبقاو ابصل,1
بلاتو كامل من المرتزقة و الجهلة و المتخلفين  هذه هي نخبتنا فيها مقداد الفنان ههههه عمري ما ريت واحد يسمع في غنا مقداد و شكيب الابله ما يعرفش يكون جملة و لطفي اللحاس صاحب نظرية الأنفاق. إنه عصر الرداءة,0
Masset el mousselsel w kathrelha bel ketheb,0
مسلسل ماسط لاسط .. ما عجبنيش,0
وجوه اللوح  !!!!,0
Tbarkalla 3aleha 5adija rabi wefa9ha we enaja7ha,1
ena cha5sien inhebek barcha <3,1
ntouma akbér sorre9,0
Tayaraa,1
حسنا شكرا #الياس,1
3Alami fi le5er,1
نكرها من شوفلي حل موش من اولاد مفيدة -_-,0
ماسط لاسط و قليل تربية,0
ياسر ماسط,0
bsara7a edha7ek wtfarhid m3ak ya ja3four wbelahi raj3elna barnemej chrik la3mor,1
